ID,PupilID,AssessmentYear,AssessmentTerm,SubjectID,ComponentID,StatementID,IsTarget,DateCreated,categoryID,dateObserved,scoreID
190162,0502C76A-0193-4F2F-A492-91D82DE9ED6D,3,2,NULL,14,302,NULL,21/03/2018 00:00,NULL,NULL,NULL
190163,0502C76A-0193-4F2F-A492-91D82DE9ED6D,3,2,NULL,14,303,NULL,21/03/2018 00:00,NULL,NULL,NULL
190164,0502C76A-0193-4F2F-A492-91D82DE9ED6D,3,2,NULL,15,315,NULL,21/03/2018 00:00,NULL,NULL,NULL
190165,0502C76A-0193-4F2F-A492-91D82DE9ED6D,3,2,NULL,15,316,NULL,21/03/2018 00:00,NULL,NULL,NULL
190166,0502C76A-0193-4F2F-A492-91D82DE9ED6D,3,2,NULL,15,318,NULL,21/03/2018 00:00,NULL,NULL,NULL
190167,0502C76A-0193-4F2F-A492-91D82DE9ED6D,3,2,NULL,15,319,NULL,21/03/2018 00:00,NULL,NULL,NULL
190808,D2E719C2-4215-4637-869B-0F4379042847,4,2,NULL,1,472,NULL,27/03/2018 00:00,NULL,NULL,NULL
190809,D2E719C2-4215-4637-869B-0F4379042847,4,2,NULL,1,473,NULL,27/03/2018 00:00,NULL,NULL,NULL
190810,D2E719C2-4215-4637-869B-0F4379042847,4,2,NULL,1,474,NULL,27/03/2018 00:00,NULL,NULL,NULL
190811,D2E719C2-4215-4637-869B-0F4379042847,4,2,NULL,1,475,NULL,27/03/2018 00:00,NULL,NULL,NULL
190812,D2E719C2-4215-4637-869B-0F4379042847,4,2,NULL,2,484,NULL,27/03/2018 00:00,NULL,NULL,NULL
190813,D2E719C2-4215-4637-869B-0F4379042847,4,2,NULL,2,485,NULL,27/03/2018 00:00,NULL,NULL,NULL
190814,D2E719C2-4215-4637-869B-0F4379042847,4,2,NULL,2,486,NULL,27/03/2018 00:00,NULL,NULL,NULL
190815,D2E719C2-4215-4637-869B-0F4379042847,4,2,NULL,3,62,NULL,27/03/2018 00:00,NULL,NULL,NULL
190816,D2E719C2-4215-4637-869B-0F4379042847,4,2,NULL,4,93,NULL,27/03/2018 00:00,NULL,NULL,NULL
190817,D2E719C2-4215-4637-869B-0F4379042847,4,2,NULL,4,94,NULL,27/03/2018 00:00,NULL,NULL,NULL
190818,D2E719C2-4215-4637-869B-0F4379042847,4,2,NULL,4,97,NULL,27/03/2018 00:00,NULL,NULL,NULL
190819,D2E719C2-4215-4637-869B-0F4379042847,4,2,NULL,5,145,NULL,27/03/2018 00:00,NULL,NULL,NULL
190820,D2E719C2-4215-4637-869B-0F4379042847,4,2,NULL,5,146,NULL,27/03/2018 00:00,NULL,NULL,NULL
190821,D2E719C2-4215-4637-869B-0F4379042847,4,2,NULL,5,144,NULL,27/03/2018 00:00,NULL,NULL,NULL
190822,D2E719C2-4215-4637-869B-0F4379042847,4,2,NULL,7,199,NULL,27/03/2018 00:00,NULL,NULL,NULL
190823,D2E719C2-4215-4637-869B-0F4379042847,4,2,NULL,7,200,NULL,27/03/2018 00:00,NULL,NULL,NULL
191222,4D3993FA-5045-4498-8E11-02FCFA13DF31,2,2,NULL,10,214,NULL,19/04/2018 00:00,NULL,NULL,NULL
191223,4D3993FA-5045-4498-8E11-02FCFA13DF31,2,2,NULL,10,215,NULL,19/04/2018 00:00,NULL,NULL,NULL
191224,4D3993FA-5045-4498-8E11-02FCFA13DF31,2,2,NULL,10,216,NULL,19/04/2018 00:00,NULL,NULL,NULL
191225,4D3993FA-5045-4498-8E11-02FCFA13DF31,2,2,NULL,10,217,NULL,19/04/2018 00:00,NULL,NULL,NULL
191226,4D3993FA-5045-4498-8E11-02FCFA13DF31,2,2,NULL,10,218,NULL,19/04/2018 00:00,NULL,NULL,NULL
191227,4D3993FA-5045-4498-8E11-02FCFA13DF31,2,2,NULL,10,221,NULL,19/04/2018 00:00,NULL,NULL,NULL
191228,4D3993FA-5045-4498-8E11-02FCFA13DF31,2,2,NULL,10,222,NULL,19/04/2018 00:00,NULL,NULL,NULL
191229,4D3993FA-5045-4498-8E11-02FCFA13DF31,2,2,NULL,10,223,NULL,19/04/2018 00:00,NULL,NULL,NULL
191230,4D3993FA-5045-4498-8E11-02FCFA13DF31,2,2,NULL,10,224,NULL,19/04/2018 00:00,NULL,NULL,NULL
191231,4D3993FA-5045-4498-8E11-02FCFA13DF31,2,2,NULL,10,225,NULL,19/04/2018 00:00,NULL,NULL,NULL
191232,4D3993FA-5045-4498-8E11-02FCFA13DF31,2,2,NULL,14,293,NULL,19/04/2018 00:00,NULL,NULL,NULL
